"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
15842,"NN 4236",,"21 54 06.7","-01 17 13",0.26,177,113,"DA6","A",6,,14.41,12.95,51,0.26,
15888,"NN 4259",,"22 09 47.7","+14 29 46",0.351,46,,"DA6","A",6,,15.66,13.65,39.7,0.23,
14022,"NN 3593",,"10 18 52.1","+44 02 54",0.308,168.5,-8.3,"G5 V","G",5,"V",6.65,4.96,46,0.66,89269
15917,"Gl 854",,"22 16 31.8","+68 20 25",0.372,88.6,-3.8,"dK6","K",6,,9.23,7.62,47.7,1.15,
15984,"GJ 1272","A","22 45 27.6","+11 11 34",0.163,175.3,-0.6,"dK6","K",6,,9.98,7.29,29,1.13,
15990,"Gl 872","A","22 46 42.0","+12 10 25",0.538,155,-6,"F6 IV-V","F",6,,4.19,2.7,50,0.5,215648
12476,"NN 3028",,"00 20 29.6","+33 05 13",1.362,129.2,-30,"M6","M",6,,16.05,15.56,79.9,1.98,
12571,"GJ 1022",,"00 49 34.0","-61 01 26",1.119,94,-2,"M6","M",6,,12.16,10.47,46,1.46,
12910,"NN 3181",,"02 46 34.8","+16 25 11",0.981,235.7,-34,"M6","M",6,,16.86,15.98,66.7,2.02,
12962,"GJ 1053",,"03 10 58.2","+73 46 18",2.104,120,,"sdM6","M",6,,14.64,14.23,82.9,1.79,
13547,"NN 3430","A","07 10 13.1","+37 40 09",0.367,220,,"sdM6","M",6,,14.67,12.76,41.5,1.65,
13588,"NN 3444",,"07 32 00.5","+57 54 51",0.929,178.6,16,"M6  :","M",6,,17.4,16.1,55,,
13796,"Gl 326","A","08 54 05.6","-13 07 29",0.622,148.2,,"M6   J","M",6,,12.52,11.7,68.7,1.61,
14054,"NN 3607",,"10 30 23.8","+32 50 18",0.555,229.4,,"M6  e:","M",6,,12.72,11.13,48,1.45,
14110,"Gl 406",,"10 56 29.2","+07 00 54",4.696,234.6,13,"M6","M",6,,13.45,16.56,418.3,2,
14132,"Gl 412","B","11 05 30.7","+43 31 16",4.531,281.9,,"M6  e","M",6,,14.4,15.78,188.8,2.09,
14136,"GJ 1142","A","11 08 06.3","-05 13 48",0.422,184,,"dM6","M",6,,12.56,11.05,50,1.52,
